VID,Year,Make,Model,Trim,VIN,Value
151665,05,ACURA,CANADIAN MODEL,1.7EL,2HHES368-5,6975
159093,03,ACURA,CANADIAN MODEL,1.7EL,2HHES368-3,4600
11314Y,00,ACURA,CANADIAN MODEL,CAN 3D A ---,---DC444-Y,2750
100153,03,ACURA,CL SERIES,3.2 ---- -,---YA424-3,4825
100163,03,ACURA,CL SERIES,3.2 NAV  -,---YA425-3,4825
100183,03,ACURA,CL SERIES,3.2 ---- S,---YA4-6-3,5350
100173,03,ACURA,CL SERIES,3.2 NAV  S,---YA4-7-3,5350
108012,02,ACURA,CL SERIES,3.2 ---- -,---YA424-2,4025
108022,02,ACURA,CL SERIES,3.2 NAV  -,---YA425-2,4025
108042,02,ACURA,CL SERIES,3.2 ---- S,---YA426-2,4450
108032,02,ACURA,CL SERIES,3.2 NAV  S,---YA427-2,4450
100401,01,ACURA,CL SERIES,3.2 ---- -,---YA424-1,3250
100371,01,ACURA,CL SERIES,3.2 NAVI -,---YA425-1,3250
100391,01,ACURA,CL SERIES,3.2 ---- S,---YA426-1,3550
100381,01,ACURA,CL SERIES,3.2 NAVI S,---YA427-1,3550
11051X,99,ACURA,CL SERIES,3.0 ---- A,---YA225-X,2650
11053X,99,ACURA,CL SERIES,2.3 ---- M,---YA315-X,2400
11052X,99,ACURA,CL SERIES,2.3 ---- A,---YA325-X,2400
11014W,98,ACURA,CL SERIES,3.0 ---- A,---YA224-W,1775
11013W,98,ACURA,CL SERIES,3.0 PREM A,---YA225-W,2000
11011W,98,ACURA,CL SERIES,2.2 ---- M,---YA314-W,1600
11010W,98,ACURA,CL SERIES,2.2 PREM M,---YA315-W,1900
11012W,98,ACURA,CL SERIES,2.2 ---- A,---YA324-W,1600
11009W,98,ACURA,CL SERIES,2.2 PREM A,---YA325-W,1900
24299D,13,ACURA,ILX,BASE 2.0L,19VDE1F3-D,24700
24300D,13,ACURA,ILX,PREMIUM 2.0L,19VDE1F5-D,27800
24301D,13,ACURA,ILX,TECH 2.0L,19VDE1F7-D,29925
24302D,13,ACURA,ILX,PREMIUM 2.4L,19VDE2E5-D,27800
24303D,13,ACURA,ILX,HYBRID,19VDE3F3-D,27600
24304D,13,ACURA,ILX,HYBRID TECH,19VDE3F7-D,32825
109831,01,ACURA,INTEGRA,LS  4D M ---,---DB755-1,3250
109861,01,ACURA,INTEGRA,GS  4D M ---,---DB756-1,3700
109841,01,ACURA,INTEGRA,LS  4D A ---,---DB765-1,3250
109851,01,ACURA,INTEGRA,GS  4D A ---,---DB766-1,3700
109901,01,ACURA,INTEGRA,GSR 4D M ---,---DB859-1,4200
109911,01,ACURA,INTEGRA,R   4D M ---,---DC231-1,9650
109891,01,ACURA,INTEGRA,GSR 3D M ---,---DC239-1,4300
109811,01,ACURA,INTEGRA,LS  3D M ---,---DC435-1,3350
109871,01,ACURA,INTEGRA,GS  3D M ---,---DC436-1,3775
109821,01,ACURA,INTEGRA,LS  3D A ---,---DC445-1,3350
109881,01,ACURA,INTEGRA,GS  3D A ---,---DC446-1,3775
10951Y,00,ACURA,INTEGRA,LS  4D M ---,---DB755-Y,2775
10950Y,00,ACURA,INTEGRA,GS  4D M ---,---DB756-Y,3200
10952Y,00,ACURA,INTEGRA,LS  4D A ---,---DB765-Y,2775
10949Y,00,ACURA,INTEGRA,GS  4D A ---,---DB766-Y,3200
10948Y,00,ACURA,INTEGRA,GSR 4D M ---,---DB859-Y,3600
11081Y,00,ACURA,INTEGRA,T-R 3D M ---,---DC231-Y,8550
10947Y,00,ACURA,INTEGRA,GSR 3D M ---,---DC239-Y,3725
10944Y,00,ACURA,INTEGRA,LS  3D M ---,---DC435-Y,2875
10945Y,00,ACURA,INTEGRA,GS  3D M ---,---DC436-Y,3300
10943Y,00,ACURA,INTEGRA,LS  3D A ---,---DC445-Y,2875
10946Y,00,ACURA,INTEGRA,GS  3D A ---,---DC446-Y,3300
11049X,99,ACURA,INTEGRA,LS  4D M ---,---DB755-X,2250
11047X,99,ACURA,INTEGRA,GS  4D M ---,---DB756-X,2700
11050X,99,ACURA,INTEGRA,LS  4D A ---,---DB765-X,2250
11048X,99,ACURA,INTEGRA,GS  4D A ---,---DB766-X,2700
11046X,99,ACURA,INTEGRA,GSR 4D M ---,---DB859-X,3050
11045X,99,ACURA,INTEGRA,GSR 3D M ---,---DC239-X,3150
11041X,99,ACURA,INTEGRA,LS  3D M ---,---DC435-X,2350
11044X,99,ACURA,INTEGRA,GS  3D M ---,---DC436-X,2775
11042X,99,ACURA,INTEGRA,LS  3D A ---,---DC445-X,2350
11043X,99,ACURA,INTEGRA,GS  3D A ---,---DC446-X,2775
10764W,98,ACURA,INTEGRA,LS  4D M ---,---DB755-W,1750
10767W,98,ACURA,INTEGRA,GS  4D M ---,---DB756-W,1925
10765W,98,ACURA,INTEGRA,LS  4D A ---,---DB765-W,1750
10766W,98,ACURA,INTEGRA,GS  4D A ---,---DB766-W,1925
10773W,98,ACURA,INTEGRA,GSR 4D M ---,---DB858-W,2300
10772W,98,ACURA,INTEGRA,GSR 4D M LTH,---DB859-W,2300
10770W,98,ACURA,INTEGRA,GSR 3D M ---,---DC238-W,2400
10771W,98,ACURA,INTEGRA,GSR 3D M LTH,---DC239-W,2400
10759W,98,ACURA,INTEGRA,RS  3D M ---,---DC434-W,1450
10763W,98,ACURA,INTEGRA,LS  3D M ---,---DC435-W,1875
10768W,98,ACURA,INTEGRA,GS  3D M ---,---DC436-W,2025
10760W,98,ACURA,INTEGRA,RS  3D A ---,---DC444-W,1450
10762W,98,ACURA,INTEGRA,LS  3D A ---,---DC445-W,1875
10769W,98,ACURA,INTEGRA,GS  3D A ---,---DC446-W,2025
155705,05,ACURA,NSX,,JH4NA116-5,46375
155695,05,ACURA,NSX,,JH4NA226-5,46375
106425,05,ACURA,NSX,A,---NA126-5,46375
106435,05,ACURA,NSX,M,---NA216-5,46375
102974,04,ACURA,NSX,T-TOP -,---NA--6-4,41975
111873,03,ACURA,NSX,T-TOP -,---NA--6-3,38350
113192,02,ACURA,NSX,T-TOP A,---NA126-2,36125
113202,02,ACURA,NSX,T-TOP M,---NA216-2,36125
113361,01,ACURA,NSX,----- -,---NA--3-1,31500
113351,01,ACURA,NSX,T-TOP -,---NA--6-1,33900
10941Y,00,ACURA,NSX,----- -,---NA--3-Y,29650
10942Y,00,ACURA,NSX,T-TOP -,---NA--6-Y,31700
11201X,99,ACURA,NSX,----- A,---NA123-X,27675
11202X,99,ACURA,NSX,T-TOP A,---NA126-X,29750
11200X,99,ACURA,NSX,----- M,---NA213-X,27675
11203X,99,ACURA,NSX,T-TOP M,---NA216-X,29750
11177W,98,ACURA,NSX,----- -,---NA--3-W,25925
11176W,98,ACURA,NSX,T-TOP -,---NA--6-W,28075
27930C,12,ACURA,RL,HI,JH4KB2F3-C,36575
27932C,12,ACURA,RL,BASE,JH4KB2F5-C,36200
27931C,12,ACURA,RL,TECH,JH4KB2F6-C,37175
33332B,11,ACURA,RL,HI,JH4KB2F3-B,33200
33330B,11,ACURA,RL,,JH4KB2F5-B,33200
33331B,11,ACURA,RL,TECH,JH4KB2F6-B,34050
24309A,10,ACURA,RL,HI,JH4KB2F3-A,29125
24311A,10,ACURA,RL,,JH4KB2F5-A,29125
24310A,10,ACURA,RL,TECH,JH4KB2F6-A,29825
168469,09,ACURA,RL,HI,JH4KB263-9,25450
146829,09,ACURA,RL,BASE,JH4KB265-9,25450
143289,09,ACURA,RL,TECH,JH4KB266-9,26025
161138,08,ACURA,RL,,JH4KB162-8,18675
209528,08,ACURA,RL,,JH4KB163-8,18675
143268,08,ACURA,RL,,JH4KB165-8,19075
143258,08,ACURA,RL,TECH PKG,JH4KB166-8,19075
176587,07,ACURA,RL,,JH4KB162-7,16225
169247,07,ACURA,RL,BASE,JH4KB165-7,16225
169267,07,ACURA,RL,TECH,JH4KB166-7,16475
156986,06,ACURA,RL,BASE,JH4KB163-6,14025
156976,06,ACURA,RL,BASE,JH4KB165-6,14025
144605,05,ACURA,RL SERIES,,JH4KB163-5,11150
106445,05,ACURA,RL SERIES,--- ---- ---,---KB165-5,11150
100444,04,ACURA,RL SERIES,3.5 ---- ---,---KA965-4,7800
100454,04,ACURA,RL SERIES,3.5 ---- ---,---KA966-4,7800
103453,03,ACURA,RL SERIES,3.5 ---- ---,---KA965-3,6475
103463,03,ACURA,RL SERIES,3.5 ---- NAV,---KA966-3,6475
100252,02,ACURA,RL SERIES,3.5 ---- ---,---KA965-2,5500
100262,02,ACURA,RL SERIES,3.5 ---- NAV,---KA966-2,5500
109791,01,ACURA,RL SERIES,3.5 ---- ---,---KA965-1,4675
109801,01,ACURA,RL SERIES,3.5 ---- NAV,---KA966-1,4725
10939Y,00,ACURA,RL SERIES,3.5 ---- ---,---KA965-Y,3900
10940Y,00,ACURA,RL SERIES,3.5 ---- NAV,---KA966-Y,3900
10879X,99,ACURA,RL SERIES,3.5 ---- ---,---KA965-X,3150
10878X,99,ACURA,RL SERIES,3.5 ---- NAV,---KA966-X,3150
11005W,98,ACURA,RL SERIES,3.5 ---- ---,---KA964-W,2525
11008W,98,ACURA,RL SERIES,3.5 PREM ---,---KA965-W,2625
11007W,98,ACURA,RL SERIES,3.5 PREM NAV,---KA966-W,2625
11006W,98,ACURA,RL SERIES,3.5 ---- NAV,---KA967-W,2525
11148W,98,ACURA,RL SERIES,3.5 SE   ---,---KA968-W,2525
151736,06,ACURA,RSX,S-TYPE,JH4DC530-6,10750
151756,06,ACURA,RSX,BASE M,JH4DC538-6,9175
151746,06,ACURA,RSX,BASE A,JH4DC548-6,9175
104495,05,ACURA,RSX,TYPE-S,---DC530-5,9175
104485,05,ACURA,RSX,BASE,---DC5-8-5,7950
103384,04,ACURA,RSX,TYPE-S,---DC530-4,7725
103394,04,ACURA,RSX,BASE,---DC5-8-4,6800
103473,03,ACURA,RSX,TYPE-S,---DC530-3,6450
103483,03,ACURA,RSX,BASE,---DC5-8-3,5775
103772,02,ACURA,RSX,TYPE-S,---DC530-2,5425
103792,02,ACURA,RSX,BASE M,---DC538-2,4925
103782,02,ACURA,RSX,BASE A,---DC548-2,4925
29193D,13,ACURA,TL,BASE,19UUA8F2-D,35700
29194D,13,ACURA,TL,TECH,19UUA8F5-D,39300
29196D,13,ACURA,TL,ADVANCE,19UUA8F7-D,41425
29195D,13,ACURA,TL,SH-AWD,19UUA9F2-D,39125
29197D,13,ACURA,TL,SH-AWD ADVANCE,19UUA9F7-D,44825
24099C,12,ACURA,TL,BASE,19UUA8F2-C,27825
24101C,12,ACURA,TL,TECH,19UUA8F5-C,28825
24100C,12,ACURA,TL,ADVANCE,19UUA8F7-C,30675
24243C,12,ACURA,TL,SH-AWD TECH,19UUA9E5-C,30325
24104C,12,ACURA,TL,SH-AWD,19UUA9F2-C,30300
24103C,12,ACURA,TL,SH-AWD TECH,19UUA9F5-C,31325
24102C,12,ACURA,TL,SH-AWD ADVANCE,19UUA9F7-C,32300
30134B,11,ACURA,TL,BASE,19UUA8F2-B,24875
30135B,11,ACURA,TL,BASE W/TECH,19UUA8F5-B,25775
30137B,11,ACURA,TL,SH-AWD W/TECH M,19UUA9E5-B,27600
30136B,11,ACURA,TL,SH-AWD,19UUA9F2-B,26725
30138B,11,ACURA,TL,SH-AWD W/TECH,19UUA9F5-B,27600
26223A,10,ACURA,TL,BASE,19UUA8F2-A,21925
26224A,10,ACURA,TL,BASE W/TECH,19UUA8F5-A,22650
26226A,10,ACURA,TL,SH-AWD W/TECH M,19UUA9E5-A,24225
26225A,10,ACURA,TL,SH-AWD,19UUA9F2-A,23525
26227A,10,ACURA,TL,SH-AWD W/TECH A,19UUA9F5-A,24225
151949,09,ACURA,TL,BASE,19UUA862-9,19675
151939,09,ACURA,TL,TECH,19UUA865-9,20250
151929,09,ACURA,TL,SH-AWD,19UUA962-9,21200
151959,09,ACURA,TL,SH-AWD TECH,19UUA965-9,21775
161148,08,ACURA,TL,BASE,19UUA662-8,15825
164148,08,ACURA,TL,TYPE-S MAN,19UUA755-8,17975
161168,08,ACURA,TL,TYPE-S MANUAL,19UUA756-8,17975
161158,08,ACURA,TL,TYPE-S AUTO,19UUA765-8,17975
161178,08,ACURA,TL,TYPE-S AUTO,19UUA766-8,17975
169317,07,ACURA,TL,BASE,19UUA662-7,13700
169277,07,ACURA,TL,TYPE S,19UUA755-7,15275
169297,07,ACURA,TL,TYPE S W/HP,19UUA756-7,15275
169287,07,ACURA,TL,TYPE S AUTO,19UUA765-7,15275
169307,07,ACURA,TL,TYPE S W/HP AUT,19UUA766-7,15275
156786,06,ACURA,TL,BASE MANUAL,19UUA655-6,11900
156796,06,ACURA,TL,SPORT,19UUA656-6,11900
156776,06,ACURA,TL,BASE AUTO,19UUA662-6,11900
106465,05,ACURA,TL SERIES,--- ----,---UA65--5,10275
106455,05,ACURA,TL SERIES,--- ----,---UA66--5,10275
101794,04,ACURA,TL SERIES,--- MAN,---UA65--4,8975
101784,04,ACURA,TL SERIES,--- AUTO,---UA66--4,8975
100103,03,ACURA,TL SERIES,--- ----,---UA566-3,5275
100133,03,ACURA,TL SERIES,--- NAV,---UA567-3,5275
100113,03,ACURA,TL SERIES,S   ----,---UA568-3,5900
100123,03,ACURA,TL SERIES,S   NAV,---UA569-3,5900
100272,02,ACURA,TL SERIES,--- ----,---UA566-2,4525
100282,02,ACURA,TL SERIES,--- NAV,---UA567-2,4525
100292,02,ACURA,TL SERIES,S   ----,---UA568-2,5050
100302,02,ACURA,TL SERIES,S   NAV,---UA569-2,5050
103761,01,ACURA,TL SERIES,3.2 ---,---UA566-1,3925
103771,01,ACURA,TL SERIES,3.2 NAV,---UA567-1,3925
10937Y,00,ACURA,TL SERIES,3.2 ---,---UA566-Y,3350
10938Y,00,ACURA,TL SERIES,3.2 NAV,---UA567-Y,3350
10738X,99,ACURA,TL SERIES,3.2 ----,---UA564-X,2825
10652X,99,ACURA,TL SERIES,3.2 NAV,---UA565-X,2825
10774W,98,ACURA,TL SERIES,2.5 ----,---UA264-W,1925
10775W,98,ACURA,TL SERIES,2.5 PREM,---UA265-W,1925
10777W,98,ACURA,TL SERIES,3.2 ----,---UA364-W,2150
10776W,98,ACURA,TL SERIES,3.2 PREM,---UA365-W,2150
28179D,13,ACURA,TSX,SPECIAL ED MANU,JH4CU2E8-D,31150
28163D,13,ACURA,TSX,BASE,JH4CU2F4-D,30200
28162D,13,ACURA,TSX,TECH,JH4CU2F6-D,33150
28160D,13,ACURA,TSX,SPECIAL ED,JH4CU2F8-D,31150
28161D,13,ACURA,TSX,TECH V-6,JH4CU4F6-D,38450
27912C,12,ACURA,TSX,SPECIAL ED MAN,JH4CU2E8-C,23925
27909C,12,ACURA,TSX,BASE,JH4CU2F4-C,24450
27910C,12,ACURA,TSX,TECH,JH4CU2F6-C,25350
27911C,12,ACURA,TSX,SPECIAL ED AUTO,JH4CU2F8-C,24950
27914C,12,ACURA,TSX,BASE V-6,JH4CU4F4-C,26500
27913C,12,ACURA,TSX,TECH V-6,JH4CU4F6-C,27425
32336C,12,ACURA,TSX,SPORT WAGON,JH4CW2H2-C,25175
27916C,12,ACURA,TSX,BASE SW,JH4CW2H5-C,25050
27915C,12,ACURA,TSX,TECH SW,JH4CW2H6-C,25975
30536B,11,ACURA,TSX,BASE MAN TRANS,JH4CU2E6-B,22300
30535B,11,ACURA,TSX,BASE AUTO,JH4CU2F6-B,22300
33477B,11,ACURA,TSX,V-6,JH4CU4F4-B,24325
30534B,11,ACURA,TSX,V-6 TECH,JH4CU4F6-B,25175
33519B,11,ACURA,TSX,SW,JH4CW2H5-B,22900
33520B,11,ACURA,TSX,SW TECH,JH4CW2H6-B,23775
24134A,10,ACURA,TSX,BASE MANUAL,JH4CU2E6-A,19600
24137A,10,ACURA,TSX,BASE AUTOMATIC,JH4CU2F6-A,19600
24136A,10,ACURA,TSX,V-6 BASE,JH4CU4F4-A,21875
24135A,10,ACURA,TSX,V-6 TECH,JH4CU4F6-A,21175
140609,09,ACURA,TSX,,JH4CU256-9,17350
140619,09,ACURA,TSX,,JH4CU266-9,17350
143218,08,ACURA,TSX,MAN,JH4CL958-8,14550
143228,08,ACURA,TSX,MAN W/NAVIGATIO,JH4CL959-8,14925
143248,08,ACURA,TSX,AUTO,JH4CL968-8,14550
143238,08,ACURA,TSX,AUTO W/NAVIGATI,JH4CL969-8,14925
169327,07,ACURA,TSX,BASE MAN,JH4CL958-7,12700
169347,07,ACURA,TSX,NAVI MAN,JH4CL959-7,12950
169337,07,ACURA,TSX,BASE AUTO,JH4CL968-7,12700
169357,07,ACURA,TSX,NAVI AUTO,JH4CL969-7,12950
161136,06,ACURA,TSX,BASE AUTO,JH4CL958-6,11100
161156,06,ACURA,TSX,NAVI AUTO,JH4CL959-6,11200
161146,06,ACURA,TSX,BASE 6 SPD,JH4CL968-6,11100
161166,06,ACURA,TSX,NAVI 6 SPD,JH4CL969-6,11200
106475,05,ACURA,TSX,---,---CL9-8-5,9475
106565,05,ACURA,TSX,NAV,---CL9-9-5,9475
100584,04,ACURA,TSX,---,---CL9-8-4,7950
100574,04,ACURA,TSX,NAV,---CL9-9-4,7950
34205C,12,ASTON MARTIN,DBS,COUPE,SCFFDCBD-C,251800
35062C,12,ASTON MARTIN,DBS,CONVERTIBLE,SCFFDCCD-C,282850
34206C,12,ASTON MARTIN,VANTAGE,V8 COUPE,SCFEBBAK-C,107700
34204C,12,ASTON MARTIN,VANTAGE,V12 COUPE,SCFEBBCF-C,161125
34318C,12,ASTON MARTIN,VANTAGE,V8 CNV,SCFEFBBK-C,113325
26581D,13,AUDI,A3,2.0T PREMIUM,WAUBEAFM-D,27750
26582D,13,AUDI,A3,2.0T PREMIUM,WAUBEBFM-D,27750
26587D,13,AUDI,A3,2.0T PREMIUM TD,WAUBJAFM-D,29200
26588D,13,AUDI,A3,2.0T PREMIUM TD,WAUBJBFM-D,29200
26583D,13,AUDI,A3,2.0T PREM QTRO,WAUDFAFM-D,29775
26584D,13,AUDI,A3,2.0T PREM QTRO,WAUDFBFM-D,29775
26579D,13,AUDI,A3,2.0T PREMIUM MA,WAUFEAFM-D,26325
26580D,13,AUDI,A3,2.0T PREMIUM MA,WAUFEBFM-D,26325
26591D,13,AUDI,A3,2.0T PREMIUM PL,WAUKEAFM-D,29675
26592D,13,AUDI,A3,2.0T PREMIUM PL,WAUKEBFM-D,29675
26597D,13,AUDI,A3,2.0T PREMIUM PL,WAUKJAFM-D,31125
26598D,13,AUDI,A3,2.0T PREMIUM PL,WAUKJBFM-D,31125
26593D,13,AUDI,A3,2.0T PREM PLUS,WAUMFAFM-D,31700
26594D,13,AUDI,A3,2.0T PREM PLUS,WAUMFBFM-D,31700
26589D,13,AUDI,A3,2.0T PREM PLUS,WAUPEAFM-D,28250
26590D,13,AUDI,A3,2.0T PREM PLUS,WAUPEBFM-D,28250
26585D,13,AUDI,A3,2.0T PREM QTRO,WUADFAFM-D,29775
26586D,13,AUDI,A3,2.0T PREM QTRO,WUADFBFM-D,29775
26595D,13,AUDI,A3,2.0T PREM PLUS,WUAMFAFM-D,31700
26596D,13,AUDI,A3,2.0T PREM PLUS,WUAMFBFM-D,31700
25734C,12,AUDI,A3,2.0T PREMIUM A/,WAUBEAFM-C,25000
25735C,12,AUDI,A3,2.0T PREMIUM A/,WAUBEBFM-C,25000
33909C,12,AUDI,A3,2.0T PREM A/T,WAUBFAFM-C,25000
25748C,12,AUDI,A3,2.0T PREMIUM TD,WAUBJAFM-C,27650
25749C,12,AUDI,A3,2.0T PREMIUM TD,WAUBJBFM-C,27650
25736C,12,AUDI,A3,2.0T PREMIUM QT,WAUDFAFM-C,27075
25737C,12,AUDI,A3,2.0T PREMIUM QT,WAUDFBFM-C,27075
25732C,12,AUDI,A3,2.0T PREMIUM M/,WAUFEAFM-C,23925
25733C,12,AUDI,A3,2.0T PREMIUM M/,WAUFEBFM-C,23925
34167C,12,AUDI,A3,2.0T PREM M/T,WAUFFAFM-C,23925
25742C,12,AUDI,A3,2.0T PREM PLUS,WAUKEAFM-C,25625
25743C,12,AUDI,A3,2.0T PREM PLUS,WAUKEBFM-C,25625
34166C,12,AUDI,A3,2.0T PREM PLUS,WAUKFAFM-C,25625
25750C,12,AUDI,A3,2.0T PREMIUM PL,WAUKJAFM-C,28125
25751C,12,AUDI,A3,2.0T PREMIUM PL,WAUKJBFM-C,28125
25744C,12,AUDI,A3,2.0T PREM PLUS,WAUMFAFM-C,27750
25745C,12,AUDI,A3,2.0T PREM PLUS,WAUMFBFM-C,27750
25740C,12,AUDI,A3,2.0T PREM PLUS,WAUPEAFM-C,24525
25741C,12,AUDI,A3,2.0T PREM PLUS,WAUPEBFM-C,24525
25738C,12,AUDI,A3,2.0T PREMIUM QT,WUADFAFM-C,27075
25739C,12,AUDI,A3,2.0T PREMIUM QT,WUADFBFM-C,27075
25746C,12,AUDI,A3,2.0T PREM PLUS,WUAMFAFM-C,27750
25747C,12,AUDI,A3,2.0T PREM PLUS,WUAMFBFM-C,27750
27767B,11,AUDI,A3,2.0T PREMIUM AU,WAUBEAFM-B,21700
27768B,11,AUDI,A3,2.0T PREMIUM AU,WAUBEBFM-B,21700
27769B,11,AUDI,A3,2.0T PREMIUM AU,WAUBFAFM-B,21700
27770B,11,AUDI,A3,2.0T PREMIUM AU,WAUBFBFM-B,21700
27795B,11,AUDI,A3,2.0T PREMIUM TD,WAUBJAFM-B,23875
27796B,11,AUDI,A3,2.0T PREMIUM TD,WAUBJBFM-B,23875
27771B,11,AUDI,A3,2.0T PREMIUM QT,WAUDEAFM-B,23400
27772B,11,AUDI,A3,2.0T PREMIUM QT,WAUDEBFM-B,23400
27773B,11,AUDI,A3,2.0T PREMIUM QT,WAUDFAFM-B,23400
27774B,11,AUDI,A3,2.0T PREMIUM QT,WAUDFBFM-B,23400
27763B,11,AUDI,A3,2.0T PREMIUM MA,WAUFEAFM-B,21700
27764B,11,AUDI,A3,2.0T PREMIUM MA,WAUFEBFM-B,21700
27765B,11,AUDI,A3,2.0T PREMIUM MA,WAUFFAFM-B,21700
27766B,11,AUDI,A3,2.0T PREMIUM MA,WAUFFBFM-B,21700
27783B,11,AUDI,A3,2.0T PREM PLUS,WAUKEAFM-B,22300
27784B,11,AUDI,A3,2.0T PREM PLUS,WAUKEBFM-B,22300
27785B,11,AUDI,A3,2.0T PREM PLUS,WAUKFAFM-B,22300
27786B,11,AUDI,A3,2.0T PREM PLUS,WAUKFBFM-B,22300
27797B,11,AUDI,A3,2.0T PREMIUM PL,WAUKJAFM-B,24775
27798B,11,AUDI,A3,2.0T PREMIUM PL,WAUKJBFM-B,24775
27787B,11,AUDI,A3,2.0T PREM PLUS,WAUMEAFM-B,24475
27788B,11,AUDI,A3,2.0T PREM PLUS,WAUMEBFM-B,24475
27789B,11,AUDI,A3,2.0T PREM PLUS,WAUMFAFM-B,24475
27790B,11,AUDI,A3,2.0T PREM PLUS,WAUMFBFM-B,24475
27779B,11,AUDI,A3,2.0T PREM PLUS,WAUPEAFM-B,22300
27780B,11,AUDI,A3,2.0T PREM PLUS,WAUPEBFM-B,22300
27781B,11,AUDI,A3,2.0T PREM PLUS,WAUPFAFM-B,22300
27782B,11,AUDI,A3,2.0T PREM PLUS,WAUPFBFM-B,22300
27775B,11,AUDI,A3,2.0T PREMIUM QT,WUADEAFM-B,23400
27776B,11,AUDI,A3,2.0T PREMIUM QT,WUADEBFM-B,23400
27777B,11,AUDI,A3,2.0T PREMIUM QT,WUADFAFM-B,23400
27778B,11,AUDI,A3,2.0T PREMIUM QT,WUADFBFM-B,23400
27791B,11,AUDI,A3,2.0T PREM PLUS,WUAMEAFM-B,24475
27792B,11,AUDI,A3,2.0T PREM PLUS,WUAMEBFM-B,24475
27793B,11,AUDI,A3,2.0T PREM PLUS,WUAMFAFM-B,24475
27794B,11,AUDI,A3,2.0T PREM PLUS,WUAMFBFM-B,24475
30073A,10,AUDI,A3,PREMIUM,WAUBEAFM-A,18700
30009A,10,AUDI,A3,2.0T PREM,WAUBEBFM-A,18700
26933A,10,AUDI,A3,2.0T PREMIUM,WAUBFAFM-A,18700
26934A,10,AUDI,A3,2.0T PREMIUM,WAUBFBFM-A,18700
27002A,10,AUDI,A3,PREMIUM TDI,WAUBJAFM-A,21100
27003A,10,AUDI,A3,PREMIUM TDI,WAUBJBFM-A,21100
28485A,10,AUDI,A3,2.0T PREMIUM QT,WAUDEAFM-A,21100
28486A,10,AUDI,A3,2.0T PREMIUM QT,WAUDEBFM-A,21100
26935A,10,AUDI,A3,2.0T PREMIUM QT,WAUDFAFM-A,21100
26936A,10,AUDI,A3,2.0T PREMIUM QT,WAUDFBFM-A,21100
30074A,10,AUDI,A3,PREMIUM,WAUFEAFM-A,18700
30075A,10,AUDI,A3,PREMIUM,WAUFEBFM-A,18700
26931A,10,AUDI,A3,2.0T PREMIUM MA,WAUFFAFM-A,18700
26932A,10,AUDI,A3,2.0T PREMIUM MA,WAUFFBFM-A,18700
30079A,10,AUDI,A3,PREMIUM PLUS,WAUKEAFM-A,19300
30076A,10,AUDI,A3,PREMIUM PLUS,WAUKEBFM-A,19300
27963A,10,AUDI,A3,2.0T PREM PLUS,WAUKFAFM-A,19300
28488A,10,AUDI,A3,2.0T PREMIUM PL,WAUKFBFM-A,19300
27004A,10,AUDI,A3,PREM PLUS TDI,WAUKJAFM-A,21625
27005A,10,AUDI,A3,PREM PLUS TDI,WAUKJBFM-A,21625
28489A,10,AUDI,A3,2.0T PREM PLUS,WAUMEAFM-A,21725
28490A,10,AUDI,A3,2.0T PREM PLUS,WAUMEBFM-A,21725
28491A,10,AUDI,A3,2.0T PREM PLUS,WAUMFAFM-A,21725
28492A,10,AUDI,A3,2.0T PREM PLUS,WAUMFBFM-A,21725
30077A,10,AUDI,A3,PREMIUM PLUS,WAUPEAFM-A,19300
30078A,10,AUDI,A3,PREMIUM PLUS,WAUPEBFM-A,19300
28216A,10,AUDI,A3,PREM PLUS MAN,WAUPFAFM-A,19300
28487A,10,AUDI,A3,2.0T PREM PLUS,WAUPFBFM-A,19300
160399,09,AUDI,A3,2.0T,WAUAE78P-9,16400
160409,09,AUDI,A3,2.0T,WAUAE98P-9,17500
160419,09,AUDI,A3,2.0T,WAUAF78P-9,16400
160429,09,AUDI,A3,2.0T,WAUAF98P-9,17500
160499,09,AUDI,A3,2.0T S-LINE,WAUBE78P-9,17125
160509,09,AUDI,A3,2.0T S-LINE,WAUBE98P-9,17500
178549,09,AUDI,A3,2.0T PREMIUM,WAUBF78P-9,17125
178559,09,AUDI,A3,2.0T S-LINE,WAUBF98P-9,17500
160439,09,AUDI,A3,2.0T PREM PKG,WAUCE78P-9,16400
160449,09,AUDI,A3,2.0T PREM PKG,WAUCE98P-9,17500
160459,09,AUDI,A3,2.0T PREM PKG,WAUCF78P-9,16400
160469,09,AUDI,A3,2.0T PREM PKG,WAUCF98P-9,17500
160729,09,AUDI,A3,2.0T QTTRO,WAUDE78P-9,18575
160739,09,AUDI,A3,2.0T QTTRO,WAUDE98P-9,18575
178579,09,AUDI,A3,2.0T,WAUDF78P-9,18575
178589,09,AUDI,A3,2.0T,WAUDF98P-9,18575
178519,09,AUDI,A3,2.0T,WAUHE78P-9,16400
178569,09,AUDI,A3,2.0T S-LINE,WAUHE98P-9,17500
175229,09,AUDI,A3,,WAUHF78P-9,16400
177939,09,AUDI,A3,S-LINE 2.0T,WAUHF98P-9,17500
178529,09,AUDI,A3,2.0T QTTRO,WAUKE78P-9,18575
178539,09,AUDI,A3,2.0T QTTRO,WAUKE98P-9,18575
178599,09,AUDI,A3,2.0T,WAUKF78P-9,18575
178609,09,AUDI,A3,2.0T,WAUKF98P-9,18575
